,f1_score,expert,method,tile,jaccard_thre,TP,FP,FN
0,0.7179656538969617,expert1,DeepCell 0.12.3 mem,tile1,0.38,2174,451,1257
1,0.7151153144184503,expert1,DeepCell 0.12.3 cyto,tile1,0.38,2155,441,1276
2,0.7438471502590673,expert1,DeepCell 0.9.0 mem,tile1,0.38,2297,448,1134
3,0.7402829728411123,expert1,DeepCell 0.9.0 cyto,tile1,0.38,2276,442,1155
4,0.5787836903939184,expert1,DeepCell 0.6.0 mem,tile1,0.38,1675,682,1756
5,0.5641294838145232,expert1,DeepCell 0.6.0 cyto,tile1,0.38,1612,672,1819
6,0.7211766566503243,expert1,Cellpose 2.1.0,tile1,0.38,2280,612,1151
7,0.7145359019264448,expert1,Cellpose 0.6.1,tile1,0.38,2244,606,1187
8,0.7062857142857143,expert1,Cellpose 0.0.3.1,tile1,0.38,2163,531,1268
9,0.3349797934440952,expert1,CellProfiler,tile1,0.38,746,277,2685
10,0.014148273910582909,expert1,CellX,tile1,0.38,25,78,3406
11,0.09450830140485313,expert1,AICS(classic),tile1,0.38,222,1045,3209
12,0.0,expert1,Cellsegm,tile1,0.38,0,23,3431
13,0.032571706368497814,expert1,Voronoi,tile1,0.38,67,616,3364
14,0.594027149321267,expert1,Expert2,tile1,0.38,1641,453,1790
15,0.6882814155541428,expert2,DeepCell 0.12.3 mem,tile1,0.38,1624,1001,470
16,0.6814498933901919,expert2,DeepCell 0.12.3 cyto,tile1,0.38,1598,998,496
17,0.7294895639594957,expert2,DeepCell 0.9.0 mem,tile1,0.38,1765,980,329
18,0.7464671654197839,expert2,DeepCell 0.9.0 cyto,tile1,0.38,1796,922,298
19,0.48528420579645026,expert2,DeepCell 0.6.0 mem,tile1,0.38,1080,1277,1014
20,0.4901781635449977,expert2,DeepCell 0.6.0 cyto,tile1,0.38,1073,1211,1021
21,0.7280385078219013,expert2,Cellpose 2.1.0,tile1,0.38,1815,1077,279
22,0.7427184466019418,expert2,Cellpose 0.6.1,tile1,0.38,1836,1014,258
23,0.7568922305764411,expert2,Cellpose 0.0.3.1,tile1,0.38,1812,882,282
24,0.4170676932948348,expert2,CellProfiler,tile1,0.38,650,373,1444
25,0.021847974510696404,expert2,CellX,tile1,0.38,24,79,2070
26,0.28800952097590005,expert2,AICS(classic),tile1,0.38,484,783,1610
27,0.0,expert2,Cellsegm,tile1,0.38,0,23,2094
28,0.010803024846957148,expert2,Voronoi,tile1,0.38,15,668,2079
29,0.594027149321267,expert2,Expert1,tile1,0.38,1641,1790,453
30,0.6068111455108359,expert1,DeepCell 0.12.3 mem,tile2,0.38,1666,766,1393
31,0.6159682080924855,expert1,DeepCell 0.12.3 cyto,tile2,0.38,1705,772,1354
32,0.6439094502335609,expert1,DeepCell 0.9.0 mem,tile2,0.38,1792,715,1267
33,0.6650097638913545,expert1,DeepCell 0.9.0 cyto,tile2,0.38,1873,701,1186
34,0.45887281035795885,expert1,DeepCell 0.6.0 mem,tile2,0.38,1205,988,1854
35,0.4602076124567474,expert1,DeepCell 0.6.0 cyto,tile2,0.38,1197,946,1862
36,0.6637462765025407,expert1,Cellpose 2.1.0,tile2,0.38,1894,754,1165
37,0.6540151115796873,expert1,Cellpose 0.6.1,tile2,0.38,1861,771,1198
38,0.6482683982683982,expert1,Cellpose 0.0.3.1,tile2,0.38,1797,688,1262
39,0.17850098619329388,expert1,CellProfiler,tile2,0.38,362,635,2697
40,0.008296107211231652,expert1,CellX,tile2,0.38,13,62,3046
41,0.12870634746321108,expert1,AICS(classic),tile2,0.38,293,1201,2766
42,0.0,expert1,Cellsegm,tile2,0.38,0,17,3059
43,0.014488865038905285,expert1,Voronoi,tile2,0.38,27,641,3032
44,0.5747448469081449,expert1,Expert2,tile2,0.38,1436,502,1623
45,0.6558352402745995,expert2,DeepCell 0.12.3 mem,tile2,0.38,1433,999,505
46,0.6477916194790487,expert2,DeepCell 0.12.3 cyto,tile2,0.38,1430,1047,508
47,0.709111361079865,expert2,DeepCell 0.9.0 mem,tile2,0.38,1576,931,362
48,0.7389184397163121,expert2,DeepCell 0.9.0 cyto,tile2,0.38,1667,907,271
49,0.4991527475187606,expert2,DeepCell 0.6.0 mem,tile2,0.38,1031,1162,907
50,0.4915461896593972,expert2,DeepCell 0.6.0 cyto,tile2,0.38,1003,1140,935
51,0.7051897078063672,expert2,Cellpose 2.1.0,tile2,0.38,1617,1031,321
52,0.7045951859956237,expert2,Cellpose 0.6.1,tile2,0.38,1610,1022,328
53,0.7293692064209812,expert2,Cellpose 0.0.3.1,tile2,0.38,1613,872,325
54,0.20851788756388415,expert2,CellProfiler,tile2,0.38,306,691,1632
55,0.018877297565822158,expert2,CellX,tile2,0.38,19,56,1919
56,0.23426573426573427,expert2,AICS(classic),tile2,0.38,402,1092,1536
57,0.0,expert2,Cellsegm,tile2,0.38,0,17,1938
58,0.023023791250959325,expert2,Voronoi,tile2,0.38,30,638,1908
59,0.5747448469081449,expert2,Expert1,tile2,0.38,1436,1623,502
