,f1_score,quality_score,expert,Method,tile,jaccard_thre,TP,FP,FN
0,0.12417437252311757,1.3203454461575972,expert1,DeepCell 0.12.3 mem,tile1,0.73,376,2249,3055
1,0.13008130081300814,1.2894366577648055,expert1,DeepCell 0.12.3 cyto,tile1,0.73,392,2204,3039
2,0.15479274611398963,1.233080331100823,expert1,DeepCell 0.9.0 mem,tile1,0.73,478,2267,2953
3,0.14929256789721906,1.2078962961636988,expert1,DeepCell 0.9.0 cyto,tile1,0.73,459,2259,2972
4,0.017622667588113337,1.2262171823123826,expert1,DeepCell 0.6.0 mem,tile1,0.73,51,2306,3380
5,0.018547681539807525,1.1600260346196845,expert1,DeepCell 0.6.0 cyto,tile1,0.73,53,2231,3378
6,0.11481891507195952,1.2018233460069285,expert1,Cellpose 2.1.0,tile1,0.73,363,2529,3068
7,0.13819455500716446,1.1642344467582062,expert1,Cellpose 0.6.1,tile1,0.73,434,2416,2997
8,0.112,1.1095345236567906,expert1,Cellpose 0.0.3.1,tile1,0.73,343,2351,3088
9,0.0035335689045936395,0.5013646077089747,expert1,CellProfiler,tile1,0.73,8,1089,3423
10,0.002080624187256177,0.008498220205465826,expert1,CellX,tile1,0.73,4,410,3427
11,0.00048590864917395527,0.24802265842043594,expert1,AICS(classic),tile1,0.73,1,684,3430
12,0.0,0.25322929376201453,expert1,Cellsegm,tile1,0.73,0,26,3431
13,0.0,0.6201126319279938,expert1,Voronoi,tile1,0.73,0,683,3431
14,0.03619909502262444,0.8049131060216731,expert1,Expert2,tile1,0.73,100,1994,3331
15,0.019071837253655435,1.3203454461575972,expert2,DeepCell 0.12.3 mem,tile1,0.73,45,2580,2049
16,0.01535181236673774,1.2894366577648055,expert2,DeepCell 0.12.3 cyto,tile1,0.73,36,2560,2058
17,0.050010332713370534,1.233080331100823,expert2,DeepCell 0.9.0 mem,tile1,0.73,121,2624,1973
18,0.07647547797173733,1.2078962961636988,expert2,DeepCell 0.9.0 cyto,tile1,0.73,184,2534,1910
19,0.001797348910357223,1.2262171823123826,expert2,DeepCell 0.6.0 mem,tile1,0.73,4,2353,2090
20,0.0009136592051164915,1.1600260346196845,expert2,DeepCell 0.6.0 cyto,tile1,0.73,2,2282,2092
21,0.08584035298836742,1.2018233460069285,expert2,Cellpose 2.1.0,tile1,0.73,214,2678,1880
22,0.1104368932038835,1.1642344467582062,expert2,Cellpose 0.6.1,tile1,0.73,273,2577,1821
23,0.10902255639097744,1.1095345236567906,expert2,Cellpose 0.0.3.1,tile1,0.73,261,2433,1833
24,0.026324036352240676,0.5013646077089747,expert2,CellProfiler,tile1,0.73,42,1055,2052
25,0.0,0.008498220205465826,expert2,CellX,tile1,0.73,0,414,2094
26,0.009355883411299028,0.24802265842043594,expert2,AICS(classic),tile1,0.73,13,672,2081
27,0.0,0.25322929376201453,expert2,Cellsegm,tile1,0.73,0,26,2094
28,0.0,0.6201126319279938,expert2,Voronoi,tile1,0.73,0,683,2094
29,0.03619909502262444,1.3572295817168887,expert2,Expert1,tile1,0.73,100,3331,1994
30,0.0582771808413768,1.3331190988651311,expert1,DeepCell 0.12.3 mem,tile2,0.73,160,2272,2899
31,0.05455202312138728,1.3709160858915808,expert1,DeepCell 0.12.3 cyto,tile2,0.73,151,2326,2908
32,0.09414301113905857,1.2558560717874183,expert1,DeepCell 0.9.0 mem,tile2,0.73,262,2245,2797
33,0.11113083614415054,1.2711864491608593,expert1,DeepCell 0.9.0 cyto,tile2,0.73,313,2261,2746
34,0.006473724295506474,1.2917111006643762,expert1,DeepCell 0.6.0 mem,tile2,0.73,17,2176,3042
35,0.006535947712418301,1.3065462669912957,expert1,DeepCell 0.6.0 cyto,tile2,0.73,17,2126,3042
36,0.09216751357981426,1.2137291415782419,expert1,Cellpose 2.1.0,tile2,0.73,263,2385,2796
37,0.11948690915480584,1.1912177173356582,expert1,Cellpose 0.6.1,tile2,0.73,340,2292,2719
