,Cellpose 2.1.0,Cellpose 0.6.1,Cellpose 0.0.3.1,DeepCell 0.9.0 mem,DeepCell 0.9.0 cyto,DeepCell 0.12.3 mem,DeepCell 0.12.3 cyto,DeepCell 0.6.0 mem,DeepCell 0.6.0 cyto,CellProfiler,AICS(classic),CellX,Voronoi,Cellsegm
Cellpose 2.1.0,0.0,22.264077286335755,24.201843095829922,46.52678318489806,47.46177182094425,57.285210872334375,55.53496399645086,60.600647853836904,59.187035003441636,68.15342967863768,58.85874577026043,98.18803665470236,134.61555338978616,214.27721970071372
Cellpose 0.6.1,22.264077286335755,0.0,23.979425864458207,46.73646580743174,47.69348634836827,57.44656721556355,55.75531284257558,60.70954329965919,59.30881153573165,68.34320307701998,59.137432350046296,98.01205236818241,134.65401757812543,214.5351594311437
Cellpose 0.0.3.1,24.201843095829922,23.979425864458207,0.0,45.17866643243415,45.868700970418125,55.43756030657755,53.54319701966351,59.0404852709582,57.65053316041969,67.07804369088382,59.39275565937767,98.92311308351479,134.58627247978654,214.45116648756806
DeepCell 0.9.0 mem,46.52678318489806,46.73646580743174,45.17866643243415,0.0,28.368083395086387,37.21432440680697,36.27963759883871,44.794305632775334,45.16798230413369,70.54157554445136,72.97876139928727,112.9075764526459,135.24497765751704,228.10158854645994
DeepCell 0.9.0 cyto,47.46177182094425,47.69348634836827,45.868700970418125,28.368083395086387,0.0,38.05865195648253,34.74508122380674,44.02303568503751,42.54990318525211,72.68293186728808,74.14935744886897,113.41102220217374,134.97156818200378,227.54738227464293
DeepCell 0.12.3 mem,57.285210872334375,57.44656721556355,55.43756030657755,37.21432440680697,38.05865195648253,0.0,27.00480426892573,37.81411602296018,40.604546212546765,66.56046389231523,78.76353772371657,114.41435418740178,126.7291037566861,229.64174159616817
DeepCell 0.12.3 cyto,55.53496399645086,55.75531284257558,53.54319701966351,36.27963759883871,34.74508122380674,27.00480426892573,0.0,37.93544689100376,37.33332687877993,68.01701854535546,77.74362546259798,113.75122145100285,128.25139042192473,228.36833479211384
DeepCell 0.6.0 mem,60.600647853836904,60.70954329965919,59.0404852709582,44.794305632775334,44.02303568503751,37.81411602296018,37.93544689100376,0.0,26.1824784793043,69.7889352793076,79.7616497395365,114.85566108470836,124.56527302595998,228.56567960866266
DeepCell 0.6.0 cyto,59.187035003441636,59.30881153573165,57.65053316041969,45.16798230413369,42.54990318525211,40.604546212546765,37.33332687877993,26.1824784793043,0.0,70.97578615014437,78.55309688007426,113.17397472834031,125.738621047217,226.59499683268223
CellProfiler,68.15342967863768,68.34320307701998,67.07804369088382,70.54157554445136,72.68293186728808,66.56046389231523,68.01701854535546,69.7889352793076,70.97578615014437,0.0,64.83030768827985,87.6861297901477,111.01842147245591,201.4587953388712
AICS(classic),58.85874577026043,59.137432350046296,59.39275565937767,72.97876139928727,74.14935744886897,78.76353772371657,77.74362546259799,79.7616497395365,78.55309688007426,64.83030768827985,0.0,80.33811604022378,125.23948683233671,200.39822424580507
CellX,98.18803665470236,98.01205236818241,98.92311308351479,112.90757645264529,113.41102220217374,114.41435418740178,113.75122145100285,114.85566108470836,113.17397472834031,87.6861297901477,80.33811604022378,0.0,114.82326513009244,177.05979540797168
Voronoi,134.61555338978616,134.65401757812543,134.58627247978654,135.24497765751704,134.97156818200378,126.7291037566861,128.25139042192473,124.56527302595998,125.738621047217,111.01842147245591,125.23948683233671,114.82326513009244,0.0,222.3798252445764
Cellsegm,214.27721970071372,214.5351594311437,214.45116648756806,228.10158854645994,227.54738227464293,229.64174159616994,228.36833479211384,228.56567960866266,226.59499683268223,201.4587953388712,200.39822424580507,177.05979540797168,222.3798252445764,0.0
